飛ぶ,飞,とぶ,鳥が飛びます。
かける,戴（眼镜）,,めがねをかけます。
走る,（车）开，跑,はしる,電車が走ります。
雨,雨，下雨天,あめ,
降る,下（雨，雪）,ふる,雨が降ります。
話す,说，说（某种语言）,はなす,日本語で話します。
踊る,跳舞,おどる,踊りを踊ります。
言う,说，叫做~,いう,名前を言います。
引く,得（感冒）,ひく,風邪を引きます。
死ぬ,死，死亡,しぬ,犬が死にます。

乗る,乘坐，骑,のる,バスに乗ります。
開ける,打开（门窗等）,あける,窓を開けます。
始める,使~开始,はじめる,授業が始めます。
忘れる,忘记,わすれる,名前を忘れます。
掃除する,扫除,そうじする,部屋を掃除します。
洗濯する,洗（衣服）,せんたくする,服を洗濯します。
結婚する,结婚,けっこんする,ワンさんとリーさんが結婚します。
待つ,等待,まつ,友達を待ちます。
急ぐ,急，快走，加快,いそぐ,駅へ急ぎます。
呼ぶ,叫，呼叫,よぶ,タクシーを呼びます。
教える,教，教导,おしえる,日本語を教えます。
知る,认识，知道,しる,山田さんを知っている。
大学院,研究生院,だいがくいん,
経済,经济,けいざい,

研究,研究,けんきゅう,
コック,厨师,,
居酒屋,小酒馆,いざかや,
飼う,饲养,かう,犬を買います。
出版社,出版社,しゅっぱんしゃ,
新聞社,报社,しんぶんしゃ,
研究所,研究所,けんきゅうじょ,
近く,附近,ちかく,近くのレストランへご飯を食べに行きます。
ハンバーグ,牛肉饼,,
定食,套餐,ていしょく,
デザート,甜点,,
ヨーグルト,酸奶,,
みんな,大家，全体,,

晴れる,放晴，晴天,はれる,先週の日曜日は晴れていた。
バイト,打工,,
～先,~的地方,～さき,僕は学校やバイト先に、たくさん友達がいます。
寂しい,寂寞,さびしい,友達がいませんから、寂しいです。
メニュー,菜单,,
かぶる,戴（帽子等）,,帽子をかぶります。
着る,穿（衣服等）,きる,シャツを着ます。
シャツ,衬衫,,
ブーツ,靴子,,
スーツ,西服，套装,,
ラジカセ,收录音机,,
どの,哪个,,どの人ですか。
白い,白色的,しろい,白いスカートをはきます。

セーター,毛衣,,
警察官,警察,けいさつかん,
看護師,护士,かんごし,
年上,年长,としうえ,
大学生,大学生,だいがくせい,
一生懸命な,拼命地,いっしょうけんめいな,毎日一生懸命（に）勉強しています。
紹介する,介绍,しょうかいする,友達を紹介します。
あ,啊（惊讶，发现，疑问）,,あ、雨ですね。
もしもし,喂喂,,もしもし、どちらさまですか。
出かける,出门,でかける,町へ出かける。
ああ,啊（恍然大悟）,,ああ、そうですか。
あとで,之后，过会儿,,じゃ、またあとで電話します。

不動産,房地产,ふどうさん,
探す,找，寻找,さがす,アルバイトを探します。
遅く,晚，很晚的时间,おそく,
うるさい,吵闹的，嘈杂的,,隣の人が遅くまで音楽を聞いていて、うるさいです。
早く,快点，早点,はやく,早く引越したいです。
引越す,搬家,ひっこす,駅の近くに引越します。
面接,面试,めんせつ,
