歯,牙齿,は,
磨く,刷，擦,みがく,歯を磨きます。
座る,坐,すわる,こちらに座ってください。
シャワー,淋浴,,
浴びる,淋，沐浴,あびる,シャワーを浴びます。
洗う,洗,あらう,顔を洗います。
ジョギングする,慢跑,,毎朝ジョギングします。
お風呂,浴池，澡盆,おふろ,
集まる,聚集，集合,あつまる,朝９時に集まります。
名前,名字,なまえ,

コート,大衣,,
かける,挂（大衣）,,コートをかけます。
貸す,借出,かす,辞書を貸します。
どうも,非常（感谢，抱歉）,,どうもありがとうございます。
手伝う,帮忙,てつだう,ちょっと手伝ってください。
ゆっくり,慢慢地,,ゆっくり話してください。
どれか,某个，（三者以上的）其中一个,,どれか一つ持って行く。
見せる,出示，给~看,みせる,メニューを見せます。
肉,肉,にく,
薄い,薄的，淡的,うすい,この本は薄いです。
立派な,出色的，气派的,りっぱな,キムさんは立派な人です。
独身,独身,どくしん,
まずい,难吃,,あの店は料理がまずいです。
景色,景色,けしき,

美しい,美丽的,うつくしい,富士山の景色は美しいです。
彼,他，男朋友,かれ,
大根,白萝卜,だいこん,
にんじん,胡萝卜,,
おじ,叔叔，伯伯,,
麦茶,大麦茶,むぎちゃ,
烏龍茶,乌龙茶,ウーロンちゃ,
卒業式,毕业典礼,そつぎょうしき,
え,诶（疑问）,,え、どの人ですか。
ほら,看,,ほら！あそこの人。
歯医者,牙科，牙科医生,はいしゃ,
駅前,车站附近,えきまえ,
美容院,理发店,びよういん,

体操する,做体操,たいそうする,公園で体操します。
はる,粘贴,,切手をはります。
切符,车票，票,きっぷ,
ボタン,按钮，纽扣,,
押す,按，推,おす,ボタンを押します。
コンサート,音乐会,,
専攻する,专攻，专修，专业,せんこうする,経済を専攻します。
経営,经营,けいえい,
専門学校,专业学校,せんもんがっこう,
口笛,口哨,くちぶえ,
吹く,吹,ふく,口笛を吹きます。
鼻歌,哼唱,はなうた,
準備,准备,じゅんび,

日,日子,ひ,
ビール,啤酒,,
枝豆,毛豆,えだまめ,
最高な,最好,さいこうな,暑い日はビールが最高です。
なべ,火锅，锅,,
桜,樱花,さくら,
チャーハン,炒饭,,
どれくらい,大约多久，大约多少,,日本へ来てどれくらいですか。
ところ,地方，场所,,
案内する,带路，向导，导游,あんないする,お台場へ案内します。
でも,可是,,風邪を引きました。でも、学校へ来ました。
