相撲,相扑,すもう,
楽しみな,期待，期盼,たのしみな,相撲を楽しみにします。
富士山,富士山,ふじさん,
登る,爬，攀登,のぼる,富士山に登ります。
納豆,纳豆,なっとう,
徹夜,彻夜，通宵,てつや,
三つ星,三星级（宾馆）,みつぼし,
～度,~次,～ど,
ゆうれい,幽灵，鬼魂,,
えっ,诶（诧异）,,えっ、本当にですか。
嘘,谎言,うそ,
冗談,玩笑，笑话,じょうだん,

宇宙人,外星人,うちゅうじん,
UFO,不明飞行物,ユーフォー,
復讐する,复习,ふくしゅうする,習ったことを復讐します。
質問する,提问,しつもんする,先生に質問します。
平日,工作日，平时,へいじつ,
お正月,新年，一月,おしょうがつ,
親戚,亲戚,しんせき,
おせち料理,过年吃的饭菜，什锦年菜,おせちりょうり,
フルート,长笛,,
楽器,乐器,がっき,
演奏する,演奏,えんそうする,楽器を演奏します。
電気,电灯，电，电气,でんき,

とき,~的时候，时间,,
受ける,接受，参加,うける,試験を受けます。
アポイント,预约,,
パスポート,护照,,
外国人登録証,外国人登录证,がいこくじんとうろくしょう,
資格外活動許可書,资格外活动许可书,しかくがいかつどうきょかしょ,
学生証,学生证,がくせいしょう,
はじめに,在开头,,面接で、はじめに、自分の名前を言ってください。
性格,性格,せいかく,
レベル,水平,,
いろいろな,各种各样,,面接でいろいろな質問をします。
はっきり,清晰，清楚,,はっきり話します。
答える,回答,こたえる,質問に答えます。

すみませんが,对不起，不好意思,,
台所,厨房,だいどころ,
将来,将来,しょうらい,
中学,中学，初中,ちゅうがく,
卒業する,毕业,そつぎょうする,大学を卒業します。
高校,高中,こうこう,
辛い,痛苦，难过，艰苦,つらい,仕事がとてもつらいです。
どうして,为什么,,どうして学校に行きませんか。
もうすぐ,马上,,もうすぐ夏休みです。
山,山,やま,
だいぶ,相当，很,,だいぶ大きくなりました。
慣れる,习惯,なれる,日本の生活に慣れます。
