参考書,参考书,さんこうしょ,
倒れる,倒下，倒塌,たおれる,木が倒れます。
事故,事故,じこ,
小論文,小论文,しょうろんぶん,
弁当,盒饭,べんとう,
以上,以上,いじょう,
成功する,成功,せいこうする,ダイエットに成功します。
ミニスカート,超短裙,,
宝くじ,彩票,たからくじ,
あたる,中（奖）,,宝くじがあたります。
世界一周,绕地球一周,せかいいっしゅう,

パイロット,飞行员,,
続ける,继续,つづける,勉強を続けます。
太る,胖，变胖,ふとる,食べても太りません。
かっこいい,帅，棒,,彼はかっこいい人です。
建つ,建，盖,たつ,ビルが建ちます。
外車,进口汽车,がいしゃ,
お金持ち,富翁，有钱人,おかねもち,
故郷,故乡,こきょう,
近代的な,现代化的,きんだいてきな,上海は近代的な町です。
ぜひ,一定,,ぜひ来てください。
港町,港口城市,みなとまち,

ごみ捨て,扔垃圾,ごみすて,
あらっ,哎呀（惊讶，女性口吻）,,あらっ、プレゼント？ありがとう。
びん,瓶子,,
だけど,可是,,きょうは日曜日です。だけど、仕事をしなければなりません。
燃える,燃烧，可燃,もえる,紙が燃えます。
大家さん,房东,おおやさん,
うーん,嗯（含糊回答时用）,,うーん、どうですかね。
缶,罐子,かん,
だめな,不好，不行，白费,,だめなことはだめです。
パック,包装盒,,
間違える,搞错，弄错,まちがえる,日を間違えます。
正しい,正确,ただしい,正しい物を選んでください。
ふとん,被子，铺盖,,

ティッシュ,纸巾,,
頑張る,加油,がんばる,練習を頑張ります。
強い,强，强烈,つよい,風が強いです。
優勝する,优胜，胜利,ゆうしょうする,試合で優勝します。
風,风,かぜ,
大雨,大雨,おおあめ,
中止,中止，停止,ちゅうし,
サッカー場,足球场,サッカーじょう,
