閉まる,(门窗等)关上,しまる,窓が閉まります。
開く,（门窗等）打开,あく,窓が開きます。
消える,（灯）灭，消失,きえる,電気が消えます。
つく,（灯）亮，打开,,電気がつきます。
流れる,流淌，流动,ながれる,川が流れます。
流す,冲洗，流出,ながす,水を流します。
落とす,使掉落，扔下,おとす,お金を落とします。
落ちる,掉下，落下,おちる,財布が落ちます。
割る,砸破，分割,わる,窓を割ります。
割れる,破碎，分裂，破裂,われる,コップが割れます。
取れる,脱落，掉下,とれる,ボタンが取れます。
止まる,停止,とまる,バスが止まります。
壊す,弄坏,こわす,コンピューターを壊します。

壊れる,坏，损坏,こわれる,機械が壊れます。
乾く,干燥，干,かわく,洗濯物が乾きます。
乾かす,弄干，使干燥,かわかす,ドライヤーで髪を乾かします。
ドライヤー,吹风机,,
ふた,盖子,,
ガラス,玻璃,,
背もたれ,靠背,せもたれ,
倒す,放倒，使倒下,たおす,背もたれを倒します。
先日,前几天,せんじつ,
引き出し,抽屉,ひきだし,
洗面所,盥洗室,せんめんじょ,
電話番号,电话号码,でんわばんごう,
メモ,记录，笔记,,

冷蔵庫,冰箱,れいぞうこ,
変な,奇怪，不正常,へんな,変な人です。
玄関,玄关，门厅,げんかん,
かかる,上锁,,鍵がかかります。
汚れる,受污染，脏,よごれる,空気が汚れます。
汚す,弄脏,よごす,川を汚します。
袋,袋子,ふくろ,
破れる,破裂,やぶれる,服が破れます。
破る,弄破,やぶる,袋を破ります。
ビニール袋,塑料袋,ビニールぶくろ,
ひも,绳子，鞋带,,
切れる,断裂,きれる,靴のひもが切れます。
予定表,日程表,よていひょう,

しまう,收起，放好,,はさみを引き出しにしまいます。
歯ブラシ,牙刷,はブラシ,
わーい,哇（高兴，激动）,,わーい、嬉しいなあ。
おやつ,点心，零食,,
お盆,盆，托盘,おぼん,
載せる,放，装载,のせる,料理をお盆に載せます。
並べる,摆放，陈列,ならべる,料理をテーブルに並べます。
スパグッティ,意大利面,,
スープ,汤,,
おばちゃん,阿姨，姨妈，姑姑,,
名札,姓名牌，胸牌,なふだ,
悲しい,伤心，悲伤,かなしい,ペットが死んで悲しいです。
年,年龄,とし,

音,声音,おと,
少ない,少,すくない,人が少ないです。
ストーブ,取暖炉,,
説明,说明,せつめい,
問題集,问题集,もんだいしゅう,
スイッチ,开关,,
イメージ,形象,,
変える,改变，使变化,かえる,イメージを変えます。
ストレートパーマ,拉直发，烫成直发,,
前髪,前刘海,まえがみ,
かける,烫发,,パーマをかけけます。
アップ,盘发,,

新入生,新生,しんにゅうせい,
歓迎,欢迎,かんげい,
冷える,凉，冰,ひえる,ビールが冷えます。
冷やす,冰镇，使变冷,ひやす,ビールを冷やします。
こぼす,洒落，弄洒,,水をこぼします。
こぼれる,溢出，洒出,,スープがこぼれた。
今すぐ,现在立刻,いますぐ,今すぐ行きましょう。
