夏,夏天,なつ,
暑い,（天气）热,あつい,夏は暑いです。
にぎやかな,热闹，繁华,,大阪はにぎやかな町です。
町,城镇，街道,まち,
はやい,快,,飛行機は船よりはやいです。
近い,近,ちかい,あの店は駅から近いです。
おいしい,好吃,,あの店はおいしいです。
スカート,裙子,,
素敵な,极好，漂亮,すてきな,キムさんは素敵です。
新しい,新,あたらしい,新しいスカートですか。
かわいい,可爱,,かわいいスカートですね。
だけ,仅仅，只,,キムさん、かわいいスカートですね。ースカートだけですか。
面白い,有趣,おもしろい,この映画は面白いです。

難しい,难,むずかしい,この本は難しくないです。
易しい,简单,やさしい,この本は易しいです。
川,河，江,かわ,
綺麗な,漂亮的，干净的,きれいな,この川は綺麗です。
静かな,安静的,しずかな,東京は静かですか。
有名な,有名,ゆうめいな,この街は有名ではありません。
暖かい,暖和,あたたかい,きょうは暖かいです。
忙しい,忙,いそがしい,きのうは忙しかったです。
寒い,（天气）冷,さむい,きょうは寒いです。
暇な,有空,ひまな,ビルさんはきのう暇ではありませんでした。
元気な,有精神，健康的,げんきな,ワンさんは元気です。
とても,非常，恨,,サッカーはとても楽しいです。
あまり,（不）太,,この料理はあまりおいしくないです。

便利な,方便,べんりな,携帯電話はとても便利です。
問題,问题,もんだい,
少し,一点儿，有点儿,すこし,この問題は少し難しいです。
重い,重,おもい,あの鞄は重いです。
体,身体,からだ,
調子,情况,ちょうし,
いい,好，良好,,体の調子はいいです。
全然,完全（不）,ぜんぜん,体の調子は全然よくないです。
楽しい,快乐，愉快,たのしい,サッカーは楽しいです。
歌手,歌手,かしゅ,
ハンサムな,英俊,,その歌手はハンサムです。
晴れ,晴，晴天,はれ,
雪,雪,ゆき,
くもり,多云，阴天,,
天気,天气,てんき,

悪い,坏,わるい,天気が悪いです。
部屋,房间，屋子,へや,
高い,（价格）贵，（高度）高,たかい,日本の部屋は高いです。東京タワーは高いです。
パーティー,派对,,
辛い,辣,からい,この料理は辛いです。
長い,长,ながい,会議は長いです。
涼しい,凉快,すずしい,公園は涼しいです。
気持ちいい,心情好，舒服,きもちいい,とても気持ちいいです。
疲れる,累，疲劳,つかれる,きょうは少し疲れました。
大きい,大,おおきい,横浜は大きいです。
簡単な,简单,かんたんな,これは簡単です。

優しい,温柔，和蔼,やさしい,ワンさんは優しいです。
人,人,ひと,
どんな,怎样的,,京都はどんな町ですか。
古い,旧，古老,ふるい,京都は古い町です。
小さい,小,ちいさい,京都は小さい町です。
黄色い,黄色,きいろい,ワンさんの帽子は黄色いのです。
赤い,红色,あかい,リーさんのネクタイは赤いです。
青い,蓝色，青色，绿色,あおい,カルロスさんのズボンは青いです。
黒い,褐色,くろい,ビルさんのズボンは黒いです。
茶色い,褐色,ちゃいろい,スタットさんの傘は茶色いです。
低い,矮，低,ひくい,エッフェル塔は東京タワーとり低いです。
遅い,慢，迟，晚,おそい,自転車はバイクより遅いです。

電子辞書,电子词典,でんしじしょ,
安い,便宜,やすい,辞書は電子辞書より安いです。
アパート,公寓,,
家賃,房租,やちん,
狭い,狭窄，狭小，（面积）小,せまい,このマンションは狭いです。
広い,宽阔，宽敞，（面积）大,ひろい,この部屋は広いです。
真面目な,认真,まじめな,あの人は真面目です。
夜道,夜路,よみち,
暗い,黑暗,くらい,夜道は暗いです。
危険な,危险,きけんな,夜道は危険です。
彼氏,男朋友,かれし,
親切な,热心，热情,しんせつな,私の彼氏は親切です。

頭,头，头脑,あたま,
厚い,厚,あつい,この本は厚いです。
冷たい,冷淡，冷漠，冷,つめたい,あの人は冷たいです。
ホテル,宾馆,,
マンション,公寓,,
明るい,开朗,あかるい,私の友達は明るいです。
遠い,远，遥远,とおい,この学校はうちから遠いです。
冬,冬天,ふゆ,
南,南，南方,みなみ,
北,北，北方,きた,
同じ,一样的，相同的,おなじ,中国の北は寒いです。日本も同じです。
バーゲンセール,大减价，打折销售,,
