欲しい,想要,ほしい,私は鞄がほしいです。
デジタルカメラ,数码相机,,デジタルカメラが欲しいです。
軽い,轻,かるい,軽い自転車がほしいです。
どうしましたか,怎么了？出什么事了？,,
旅行する,旅行,りょこうする,来週、旅行する。
カレーライス,咖喱饭,,カレーライスを食べたいです。
どこか,哪里，某个地方,,日曜日にどこかへ行きますか。
歌舞伎,歌舞伎,かぶき,歌舞伎を見ます。
忘れ物,失物,わすれもの,私はうちへ忘れ物を取りに帰ります。

取る,取，拿,とる,忘れ物を取る。
ダンス,舞蹈，跳舞,,
習う,学习,ならう,ダンスを習う。
歌う,唱,うたう,歌を歌う。
温泉,温泉,おんせん,
入る,进入,はいる,温泉に入る。
上着,外套,うわぎ,デパートへ上着を買いに行きます。
返す,返还，归还,かえす,本を返す。
コピーする,复印,,資料をコピーする。
借りる,借（进来）,かりる,本を借りる。
クラスメート,同班同学,,
昼休み,午休,ひるやすみ,昼休みにご飯を食べに行きませんか。
また,又，再,,また今度誘ってください。
今度,下次,こんど,

誘う,邀请,さそう,友だちを誘う。
お見舞い,探望,おみまい,友達のお見舞いに行きます。
外国人登録,外国人登记,がいこくじんとうろく,外国人登録に行きます。
持つ,拿，拥有，携带,もつ,かばんを持つ。
住む,居住,すむ,この町に住む。
薬,药,くすり,
はく,穿（鞋袜，裤子等）,,靴をはく。
地図,地图,ちず,
覚える,记住,おぼえる,漢字を覚える。
財布,钱包,さいふ,
フリーマーケット,跳蚤市场,,フリーマーケットで買いました。
通信販売,邮购,つうしんはんばい,通信販売で買いました。

歩く,步行，行走,あるく,町を歩く。
テレビショッピング,电视购物,,
もっと,更加,,もっと言葉を覚えたいです。
入れる,把~放入,いれる,財布にお金を入れる。
アクション,动作片,,
もう一度,再一次,もういちど,もう一度お願いします。
～中,整个（时间段）,～ちゅう,午前中、授業があります。
いいですよ,好啊，行啊（许可，读升调）,,
