そろそろ,就要，快要,,もう１０時なので、そろそろでかけます。
これから,从现在起，今后,,これから病院へ行く。
いかがですか,怎么样,,コーヒー、いかがですか。
失礼します,失礼，告辞,しつれいします,もう遅いので、そろそろ失礼します。
体調,身体状况,たいちょう,
スポーツセンター,运动中心,,
あれ,咦,,あれ？おかしいなあ。
受付ける,受理，接待,うけつける,申し込みを受付けます。
診療,诊疗,しんりょう,
終了する,结束,しゅうりょうする,今日の診療は終了します。

遅刻する,迟到,ちこくする,会議に遅刻します。
不合格,不及格,ふごうかく,
値段,价格,ねだん,
受験生,考生,じゅけんせい,
心配する,担心,しんぱいする,両親が子どもを心配します。
トマトジュース,番茄汁,,
なかなか,怎么也（不），轻易（不）,,薬を飲んでいるのに、なかなかよくならない。
タンス,衣橱，衣柜,,
ごみ箱,垃圾箱,ごみばこ,

カプチーノ,卡布奇诺,,
校長先生,校长,こうちょうせんせい,
カニ,螃蟹,,
～製,~产，~制作,せい,
そうね,这个嘛,,カメラはどこのがいい？ーーそうね、ジャパン電気がいいと思う。,
勧める,推荐,すすめる,パソコンなら、ヤマト電気のを勧めます。
間違い,错误,まちがい,
代える,代替，换,かえる,コップを茶杯に代えます。
弁論大会,辩论比赛，演讲比赛,べんろんたいかい,
参加する,参加,さんかする,弁論大会に参加します。
自信,自信,じしん,
帰り,归途，回（去/来）,かえり,
