かむ,咬,,犬に手をかまれた。
ほめる,表扬,,学生をほめます。
愛する,爱，爱恋，喜欢,あいする,親が子どもを愛します。
警察,警察，警署,けいさつ,
助ける,帮助，救助,たすける,警察がお年寄りを助けます。
親,父母,おや,
叩く,叩，打，敲，拍,たたく,ドアを叩きます。
高校生,高中生,こうこうせい,
捕まえる,抓住，逮捕,つかまえる,犯人（はんにん）を捕まえます。
たずねる,询问，寻找,,道をたずねます。
やきもち,嫉妒，吃醋,,

育てる,养育，抚养,そだてる,祖母が私を育てます。
夜中,半夜,よなか,
近所,邻居，近邻，附近,きんじょ,
正直な,老实，诚实,しょうじきな,正直な人。
信頼する,信赖，信任,しんらいする,みんなが彼を信頼します。
課長,科长,かちょう,
留守番,看家,るすばん,
泣く,哭泣,なく,赤ちゃんが泣きます。
開く,召开，打开，开,ひらく,パーティーを開きます。
包む,包，裹,つつむ,プレゼントを包みます。
盗む,偷，偷盗,ぬすむ,財布を盗みます。
輸入する,进口,ゆにゅうする,商品（しょうひん）を輸入します。

発明する,发明,はつめいする,紙を発明します。
つぐ,斟，灌，注入,,お酒をつぐ。
泥棒,小偷,どろぼう,
失敗,出错，失误，失败,しっぱい,
発音,发音,はつおん,
肩,肩膀,かた,
撫でる,抚摸，安抚,なでる,頭を撫でます。
先輩,前辈,せんぱい,
大声,大声,おおごえ,
恥ずかしい,害羞，惭愧,はずかしい,笑われて恥ずかしいです。
びっくりする,吃惊，吓了一跳,,肩を叩かれてびっくりしました。

慌てる,慌张,あわてる,秘密を知られて慌てました。
する,偷窃，扒窃,,財布をすられた。
吠える,吠叫,ほえる,犬が吠えます。
逃げる,逃跑,にげる,飼い犬が逃げた。
蜂,蜜蜂,はち,
刺す,刺，叮咬,さす,蜂に刺される。
突然,突然,とつぜん,突然雨に降られた。
はれる,肿，肿胀,,顔がはれます。
転ぶ,摔倒，滚，翻滚,ころぶ,滑（すべ）って転んだ。
ひっかく,挠，抓,,猫にひっかかれた。

満員,客满，满座,まんいん,
かわいそうな,可怜的,,母に死なれてかわいそうな子どもですね。
非常な,非常，特别，紧急,ひじょうな,非常に困った。
母親,母亲,ははおや,
いやあ,哎呀,,いやあ、昨日は大変だったなあ。
マスク,口罩,,
風邪薬,感冒药,かぜぐすり,
まあ,哎呀，还行，算了,,まあ、大丈夫です。
離す,放开，离开,はなす,風が治らなくて薬が離せない。
腕,手臂,うで,
右手,右手,みぎて,

うまい,巧妙，高明,,右手がうまく使えない。
もしも,万一，假使,,もしも壊れたら大変だ。
もちろん,当然，不用说,,もちろん大丈夫です。
酔っ払い,醉鬼,よっぱらい,
殴る,打，殴打,なぐる,相手（あいて）殴ります。
いきなり,突然，冷不防,,酔っ払いにいきなり殴られた。
ふる,拒绝，抛弃,,恋人にふられる。
１１０番,报警（电话）,ひゃくとおばん,
殴り返す,还手，打回去,なぐりかえす,もし殴られたら、相手を殴り返しますか。
嫌う,讨厌，嫌弃,きらう,彼に嫌われる。
