昨夜,昨晚，昨夜,さくや,
ダイヤモンド,钻石,,
僧,僧人，和尚,そう,
行う,举行，进行,おこなう,入学式を行います。
国際会議,国际会议,こくさいかいぎ,
遺産,遗产,いさん,
歴史的な,历史性的,れきしてきな,歴史的な遺産。
写真集,写真集,しゃしんしゅう,
出版する,出版,しゅっぱんする,写真集を出版します。
製品,产品，制品,せいひん,
石油,石油,せきゆ,
輸出する,出口,ゆしゅつする,石油輸出します。
たくさんの,很多的，大量的,,たくさんの人。

中東,中东,ちゅうとう,
古典,古典,こてん,
文学,文学,ぶんがく,
研究する,研究,けんきゅうする,文学を研究します。
運動会,运动会,うんどうかい,
半年,半年,はんとし,
～ごと,每~,,半年ごとに試験を行います。
新製品,新产品,しんせいひん,
開発する,开发,かいはつする,新製品を開発します。
チーズ,奶酪，芝士,,
大豆,大豆，黄豆,だいず,
醤油,酱油,しょうゆ,

ダンボール,瓦楞纸，硬纸板,,
家具,家具,かぐ,
飴,糖,あめ,
ワールドカップ,世界杯,,
開催する,召开，举办,かいさいする,オリンピックが開催される。
オリンピック,奥林匹克,,
ギリシャ,希腊,,
思い出,回忆,おもいで,
閉鎖する,关闭，封闭,へいさする,公園が閉鎖される。
多くの,很多的，多数的,おおくの,多くの人が英語を話している。
人々,人人，人们,ひとびと,
地域,地区，地域,ちいき,
住民,居民,じゅうみん,

教会,教会,きょうかい,
作曲する,作曲,さっきょくする,へ～トーベンが「運命」を作曲した。
ノーベル賞,诺贝尔奖,ノーベルしょう,
作家,作家,さっか,
アジア,亚洲,,
国々,各国，国家,くにぐに,
米,大米,こめ,
付く,附上，附着,つく,この携帯電話はカメラが付いている。
放送する,播放，播送,ほうそうする,テレビでサッカーの試合を放送します。
監督,导演，教练,かんとく,
評価する,评价，好评,ひょうかする,監督の映画を評価します。
コンサートホール,音乐厅,,

公開する,公开，公映,こうかいする,映画を公開します。
展覧会,展览会,てんらんかい,
なるほど,原来如此,,話は聞いたが、なるほど、綺麗ですね。
会館,会馆,かいかん,
宝石店,珠宝店,ほうせきてん,
店長,店长,てんちょう,
金庫,金库,きんこ,
億,亿,おく,
捕まる,被捕，抓住,つかまる,犯人が捕まります。
世界遺産,世界遗产,せかいいさん,
文化,文化,ぶんか,
大切にする,爱护，珍惜，保重,たいせつにする,思い出を大切にします。
ユネスコ,联合国教科文组织,,

保護する,保护,ほごする,自然を保護します。
登録する,登记，注册,とうろくする,世界遺産に登録する。
～か所,~处，~个地方,～かしょ,
びしょぬれ,湿透，落汤鸡,,
酒粕,酒糟,さけかす,
混ぜる,搅拌,まぜる,米と水を混ぜます。
発酵する,发酵,はっこうする,米が発酵します。
最後,最后,さいご,
絞る,榨，拧，绞,しぼる,タオルを絞る。
匂い,气味,におい,
甘酒,甜酒，醪糟,あまざけ,
