本物,真东西，真货,ほんもの,
天気予報,天气预报,てんきよほう,
大型,大型,おおがた,
噂,谈论，传说，谣言,うわさ,
人気,受欢迎，人望，声望,にんき,
大統領,总统,だいとうりょう,
人身事故,撞人事故,じんしんじこ,
車内放送,车内广播,しゃないほうそう,
私費留学生,自费留学生,しひりゅうがくせい,
国費留学生,公费留学生,こくひりゅうがくせい,

値上がりする,涨价，升职,ねあがりする,値段が値上がりします。
国会,国会,こっかい,
解散する,解散,かいさんする,国会が解散します。
運勢,运势,うんせい,
週刊誌,周刊杂志,しゅうかんし,
金運,财运,きんうん,
お小遣い,零花钱,おこづかい,
博覧会,博览会,はくらんかい,
村,村，村庄,むら,
焼き物,陶瓷器,やきもの,
技術,技术,ぎじゅつ,
江戸時代,江户时代,えどじだい,

市長,市长,しちょう,
曲,曲子，乐曲,きょく,
人たち,人们,ひとたち,
愛用する,喜欢用，爱用,あいようする,車を愛用します。
会長,会长,かいちょう,
送る,赠送,おくる,プレゼントを送ります。
明治時代,明治时代,めいじじだい,
帰国する,回国,きこくする,ワンさんが来年帰国します。
社員旅行,员工旅行,しゃいんりょこう,
進学説明会,升学说明会,しんがくせつめいかい,

確か,确实，大概，记得好像,たしか,確かここに置きましたが。
掲示板,公告板,けいじばん,
募集,招募，募集，找人,ぼしゅう,
特急電車,特快列车,とっきゅうでんしゃ,
大喜びする,兴高采烈,おおよろこびする,富士山を見ることができて大喜びします。
遊覧船,游览船,ゆうらんせん,
湖,湖,みずうみ,
ロープウェイ,缆车,,
カップラーメン,方便面,,
