続く,持续，继续,つづく,雨が続く。
退院する,出院,たいいんする,病気が治ったから、明日退院します。
発売する,发售，上市,はつばいする,新製品が発売される。
統計,统计,とうけい,
洪水,洪水,こうずい,
都会的な,城市化的,とかいてきな,都会的な風景（ふうけい）。
季節,季节,きせつ,
穏やかな,平稳的，安稳的,おだやかな,この季節は海が穏やかです。
安全性,安全性,あんぜんせい,
堤防,堤岸，堤坝,ていぼう,
予報,预报,よほう,
本人,本人,ほんにん,

メーカー,制造商，厂家,,
ポスター,海报,,
市民ホール,市民会馆,しみんホール,
肌,皮肤，肌肤,はだ,
退職する,离职，退休,たいしょくする,来年会社を退職します。
建設する,建设，修建,けんせつする,町を建設します。
方法,方法,ほうほう,
仲,交情，关系,なか,
マラソン,马拉松,,
到着する,到达,とうちゃくする,町に到着します。
電球,电灯泡,でんきゅう,

替える,更换,かえる,電球を替えます。
確認する,确认,かくにんする,出発時間を確認します。
絆創膏,创可贴,ばんそうこう,
締め切り,截止，封闭,しめきり,
面接試験,面试,めんせつしけん,
デジカメ,数码相机,,
営業,营业，营销,えいぎょう,
相手,对方,あいて,
勤務,勤务，工作,きんむ,
