たまに,偶尔,,たまに学校を休むことがある。
眠る,睡着，睡觉,ねむる,夜も眠れない。
不注意な,不小心，疏忽大意,ふちゅういな,不注意で大事故を起こす。
火事,着火，火灾,かじ,
山火事,山火,やまかじ,
開店,开门，开张,かいてん,
悩み,烦恼,なやみ,
試験勉強,备考,しけんべんきょう,
終電,末班电车,しゅうでん,

上陸する,登陆,じょうりくする,台風が上陸します。
末,~末,まつ,
震度,震级,しんど,
連休,连休，长假,れんきゅう,
アクセスする,点击，接续,,ホームページにアクセスします。
つながる,连接，排列,,電話がつながります。
続き,继续，后续，连在一起,つづき,
ダウンロード,下载,,
協力する,合作，配合，共同努力,きょうりょくする,調査（ちょうさ）に協力します。

検索する,检索，搜索,けんさくする,情報を検索します。
入院する,住院,にゅういんする,病気で入院した。
詩,诗歌,し,
代表,代表,だいひょう,
スピーチコンテスト,演讲比赛,,
一人暮し,独自生活,ひとりぐらし,
主任,主任,しゅにん,
昇進する,升职，晋升,しょうしんする,主任が課長に昇進します。
満席,满座，客满,まんせき,

指差す,用手指,ゆびさす,時計を指差します。
いらいらする,着急，焦急,,友達が来なくていらいらします。
