先ほど,刚才，刚刚,さきほど,
ご覧ください,请看（敬语）,ごらんください,どうぞ、こちらをご覧ください。
学長,大学校长,がくちょう,
あいさつする,寒暄，致辞，打招呼,あいさつする,学長がみんなにあいさつします。
長年,长年累月，多年,ながねん,
遠慮する,客气，谢绝,えんりょする,遠慮しないでください。
握手する,握手,あくしゅする,初めて会う人と握手します。
工事,施工，工程,こうじ,

意見,意见，建议,いけん,
経験,经验，经历,けいけん,
貴重な,贵重的，宝贵的,きちょうな,貴重な経験を、ありがとうございます。
会員,会员,かいいん,
午前中,上午,ごぜんちゅう,
大使,大使,たいし,
注文する,订货，订购，点菜,ちゅうもんする,飲み物を注文します。
乗車する,乘车,じょうしゃする,新幹線に乗車します。
使用する,使用,しようする,会議室を使用します。
旅館,旅馆,りょかん,

新作,新作,しんさく,
発表する,发表，发布,はっぴょうする,論文を発表します。
召し上がる,吃，喝（尊敬）,めしあがる,どうぞ召し上がってください。
いらっしゃる,来，去，在（尊敬）,,先生が学校にいらっしゃいます。
おっしゃる,说，讲（尊敬）,,社長はそうおっしゃいました。
なさる,做，干（尊敬）,,ご注文は何になさいますか。
ご存知です,知道（尊敬）,ごぞんじです,先生はこのことをご存知ですか。
ご覧になる,看，读（尊敬）,ごらんになる,部長はもうそのレポートをご覧になりました。
お嬢さん,小姐，令爱（敬称）,おじょうさん,
ラッシュ,高峰，拥挤,,
日程表,日程表,にっていひょう,
いっぱいな,满，全,,お腹がいっぱいになる。
だるい,发倦，无力,,体がだるいです。
