申す,说，叫做（自谦）,もうす,私は王と申します。
祈る,祈祷,いのる,健康を祈ります。
預ける,存放，寄存,あずける,荷物を友達に預けます。
預かる,收存，代为保管,あずかる,友達の荷物を預かります。
貴重品,贵重物品,きちょうひん,
フロント,前台,,
届け先,投送地点，收件人,とどけさき,
住所,地址,じゅうしょ,
結構な,很好的，足够的，不用,けっこうな,それは結構なことだ。

願書,志愿书,がんしょ,
郵便,邮政，邮件,ゆうびん,
報告,报告，汇报,ほうこく,
すべて,一切，全部，总共,,使うものはすべて用意した。
入場,入场,にゅうじょう,
配達する,投递，递送,はいたつする,荷物を配達します。
参る,来，去（自谦）,まいる,中国から参りました。
伺う,拜访，请教（自谦），听说,うかがう,先生のところへ伺います。
存じる,知道，想（自谦）,ぞんじる,そのことは私が存じております。

拝見する,看，读（自谦）,はいけんする,その写真はこの前拝見しました。
いたす,做，干（自谦）,,よろしくお願いいたします。
訪問する,访问,ほうもんする,京都を訪問します。
お目にかかる,见面（自谦）,おめにかかる,昨日、先生にお目にかかりました。
よろしい,好，恰好，不用,,
お宅,府上，您家,おたく,
目上,上司，长辈,めうえ,
