見える,看得见，能看到,みえる,船が見えます。
聞こえる,听得见，能听到,きこえる,隣りから歌が聞こえます。
投げる,投，扔，抛,なげる,ボールを投げます。
修理する,修理,しゅうりする,車を修理します。
ロシア,俄罗斯,,
踊り,舞蹈,おどり,
縫う,缝，刺绣,ぬう,スカートを縫います。
普通車,小型车,ふつうしゃ,

自動販売機,自动售货机,じどうはんばいき,
パンフレット,小册子,,
払う,支付,はらう,電話料金を払います。
定期券,定期乘车票，月票,ていきけん,
メール,邮件,,
換える,交换，换,かえる,お金を換えます。
空席,空座,くうせき,
状況,状况，情况,じょうきょう,
婦人服,女式服装,ふじんふく,

紳士服,男士服装,しんしふく,
基本的な,基本的,きほんてきな,基本的なことができる。
運ぶ,搬运,はこぶ,荷物を運びます。
交通費,交通费,こうつうひ,
給料,工资，报酬,きゅうりょう,
支払う,支付,しはらう,交通費を支払います。
結果,结果,けっか,
シフト,轮班，轮班工作时间,,
生け花,插花,いけばな,
日本舞踊,日本传统舞蹈,にほんぶよう,

ツアー,团体旅行,,
大自然,大自然,だいしぜん,
ふれあい,接触，交往,,
～泊～日,~天~夜,～はく～か,
牧場,牧场,ぼくじょう,
夕食,晚饭,ゆうしょく,
食べ放題,（饭店等）畅吃,たべほうだい,
焼き肉,烤肉,やきにく,
夜景,夜景,やけい,
発見する,发现,はっけんする,新しいことを発見します。
人力車,人力车,じんりきしゃ,

スキューバダイビング,背着水中呼吸器潜水,,
回る,周游，巡回,まわる,車で沖縄を回ります。
泣き声,哭声,なきごえ,
看板,招牌,かんばん,
ボード,白板，板,,
星座,星座,せいざ,
望遠鏡,望远镜,ぼうえんきょう,
鳴き声,鸣叫声,なきごえ,
字幕,字幕,じまく,
講座,讲座,こうざ,
そうなんですか,是吗,,

番組,节目,ばんぐみ,
いろんな,各种各样的,,いろんな国のテレビ番組が見られる。
波,波浪,なみ,
話題,话题,わだい,
前売券,预售票,まえうりけん,
工場,工厂,こうじょう,
天の川,银河,あまのがわ,
北斗七星,北斗七星,ほくとしちせい,
自然,自然,しぜん,
