予定,计划，安排,よてい,
横断歩道,人行横道,おうだんほどう,
楽しむ,享受，以~为乐，期待,たのしむ,人生を楽しみます。
やせる,瘦，变瘦,,夏までに５キロやせます。
辞める,辞（职），辞去,やめる,仕事を辞めます。
絶対,绝对，一定,ぜったい,絶対に反対（はんたい）する。
笑う,笑，嘲笑,わらう,あの人はいつも笑っている。
残す,剩下，留下,のこす,料理を残します。

飾る,装饰，修饰,かざる,花を部屋に飾ります。
折る,折叠，折断,おる,紙を折ります。
伝える,传达，转告，传承,つたえる,客の要求（ようきゅう）を会社に伝えます。
比べる,比，比较，比试,くらべる,力（ちから）を比べます。
見学する,参观学习,けんがくする,工場（こうじょう）を見学します。
招待する,招待，邀请,しょうたいする,友達をパーティーに招待します。
建てる,建造，建设,たてる,家を建てます。
運転免許,驾驶执照,うんてんめんきょ,
話し合う,谈话，商量,はなしあう,将来のことを話し合います。
チャンス,机会,,
断わる,拒绝，禁止,ことわる,この仕事を断わります。

謝る,道歉，谢罪,あやまる,先生に謝ります。
世話,照顾，帮助,せわ,
進学する,升学,しんがくする,大学に進学します。
できれば,如果可能的话,,できれば、日本へ留学したいです。
ずっと,一直,,ずっと日本にいるつもりです。
就職する,就职，找到工作,しゅうしょくする,海外で就職します。
向こう,对面，对方,,
しばらく,一会儿，许久,,しばらく待ってください。
予約,预约，预定,よやく,
件,事情,けん,
ほど,大约，左右,,大阪に三年ほどいる予定です。
出発,出发,しゅっぱつ,

転勤,调动工作，调换工作地点,てんきん,
特に,特别，特别是,とくに,特に予定はありません。
山登り,登山,山登り,
ハイキング,郊游，徒步旅行,,
バーベキュー,户外烧烤,,
のんびりする,悠然自得，逍遥自在,,休みの日は家でのんびりします。
新婚旅行,蜜月旅行,しんこんりょこう,
ゆっくりする,慢慢地，舒适地,,日本の温泉でゆっくりしたい。
式,仪式，典礼,しき,
ドレス,女式礼服,,

冬休み,寒假,ふゆやすみ,
よいお年を,祝你过个好年,よいおとしを,
春休み,春假,はるやすみ,
受験,参加考试，参加高考,じゅけん,
