人間,人，人类,にんげん,
なるべく,尽量,,あしたはなるべく早く来るようにします。
騒がしい,吵闹，嘈杂,さわがしい,外が騒がしいですね。
ミーティング,会议,,
スーツケース,行李箱,,
大勢,很多（人）,おおぜい,人が大勢いますね。
もう少し,再稍微,もうすこし,もう少し待ってください。

新車,新车,しんしゃ,
最近,最近,さいきん,最近今井さんに会いました。
ライブ,现场演奏会，现场直播的,,
デート,约会,,
休日,假日，休息日,きゅうじつ,
過ごす,度过,すごす,家で家族と休日を過ごします。
出発時刻,出发时间,しゅっぱつじこく,
復習,复习,ふくしゅう,
なくす,丢失,,よく鍵をなくします。
計算,计算,けいさん,
まとめる,汇总，整理,,レポートをまとめます。
できるだけ,尽量,,できるだけ今週中にまとめます。

必ず,一定，必定,かならず,休む時は必ず電話で連絡してください。
お客様,客人（敬称）,おきゃくさま,
夜更かしする,熬夜,よふかしする,あした早いですから、夜更かししないようにしてください。
腕時計,手表,うでどけい,
寝坊する,睡懒觉，睡过头,ねぼうする,今朝また寝坊した。
鶴,鹤,つる,
かなり,相当，非常,,かなり読めるようになりました。
好き嫌い,好恶，挑食,すききらい,

２４時間営業,24小时营业,にじゅうよじかんえいぎょう,
最初,最初,さいしょ,
運動,运动,うんどう,
ずいぶん,非常,,日本の生活にずいぶん慣れました。
梅干,梅干,うめぼし,
ほとんど,大部分，几乎,,ほとんど何でも食べられるようになりました。
久しぶり,好久不见,ひさしぶり,
雰囲気,氛围，气氛,ふんいき,
なんだか,总觉得，不由得,,なんだか雰囲気が変わったね。
努力する,努力,どりょくする,タバコを吸わないように努力します。
効果,效果,こうか,

バツグンな,超群，出众,,効果がバツグンですね。
ウォキング,步行（运动）,,
つるつる,光滑，光秃秃,,お肌（はだ）がつるつるです。
やっと,终于,,やっとわかりました。
起こす,吵醒，叫醒,おこす,赤ちゃんを起こします。
ことわざ,谚语，俗语,,
へえ,啊，欸（惊讶，佩服）,,へえ、すごいですね。
熱心な,热心，热诚，用功,ねっしんな,熱心に勉強します。
