めずらしい,少见的，珍稀的,,めずらしい料理を食べたいです。
通学,上学,つうがく,
新発売,新上市,しんはつばい,
実力,实力,じつりょく,
貯める,积攒，储蓄,ためる,お金をためます。
勇気,勇气,ゆうき,
告白する,表白,こくはくする,彼女に告白します。
挑戦する,挑战,ちょうせんする,新しいことに挑戦します。
悩む,烦恼,なやむ,病気に悩みます。
気持ち,心情,きもち,
高級,高级,こうきゅう,

宝くじ,彩票,たからくじ,
オーストラリア,澳大利亚,,
コアラ,考拉,,
商品,商品,しょうひん,
日本語能力試験,日语能力考试,にほんごのうりょくしけん,
契約する,签订合同，缔约,けいやくする,会社と契約します。
秘密,秘密,ひみつ,
せっかく,好（不）容易，特地，难得,,せっかくもらった資料を間違って捨てました。
干す,晒干，晾干,ほす,洗濯物を干します。
顔色,脸色，面色,かおいろ,
中退する,辍学，肄业,ちゅうたいする,大学を中退します。

離婚する,离婚,りこんする,妻と離婚します。
食器,餐具,しょっき,
お茶菓子,茶点，点心,おちゃがし,
人数,人数,にんずう,
用意する,准备,よういする,椅子を用意します。
ふく,擦，擦拭,,机をふきます。
留学,留学,りゅうがく,
日常,日常,にちじょう,
更新する,更新,こうしんする,パスポートを更新します。
習慣,习惯,しゅうかん,
気候,气候,きこう,
健康管理,养生，健康管理,けんこうかんり,

苦労する,辛苦，操劳,くろうする,若いとき勉強しないと、将来苦労します。
腐る,腐烂，坏,くさる,牛乳が腐ります。
ちゃんと,好好地，完全,,ちゃんと準備しなければなりません。
冷凍室,冷冻室,れいとうしつ,
都合,方便，情况,つごう,電話して、先生の都合を聞いておきます。
観光地,观光胜地,かんこうち,
情報,信息,じょうほう,
気温,气温,きおん,
