釣り,钓鱼,つり,
喜ぶ,喜悦,よろこぶ,この花をあげたら、彼女はきっと喜びます。
迷う,迷（路），犹豫,まよう,道に迷います。
もし,如果，要是,,もし欲しくなかったら、買わなくてもいいです。
理解する,理解,りかいする,内容（ないよう）を理解します。
地下道,地道,ちかどう,
まっすぐ,一直，笔直,,この地下道をまっすぐ行ってください。
体力,体力,たいりょく,
戦争,战争,せんそう,
平和,和平,へいわ,

覚める,清醒，觉醒,さめる,目が覚めます。
過ぎる,过，经过，过度,すぎる,時間が過ぎます。
人一倍,比别人加倍,ひといちばい,
完全な,完全，完整,かんぜんな,病気が完全に治った。
涙,眼泪,なみだ,
手術,手术,しゅじゅつ,
化粧品,化妆品,けしょうひん,
アドバイス,建议,,
詳しい,详细，熟悉,くわしい,詳しい説明をします。
足りる,足够，够,たりる,お皿が足ります。
出席する,出席,しゅっせきする,会議に出席します。

操作,操作,そうさ,
大事な,重要的，珍惜，爱护,だいじな,物は大事に使おう。
引き落とし,转账，扣除,ひきおとし,
ケーブルテレビ,有线电视,,
加入する,加入，参加,かにゅうする,ケーブルテレビに加入したい。
当日券,当日票,とうじつけん,
券,票，券,けん,
売り切れる,售罄，全部售完,うりきれる,券が売り切れます。
レディースデー,女性优惠日,,
レイトショー,夜场电影,,
女性,女性,じょせい,
以降,以后,いこう,
